======== 2026-09-14T13:22:26+08:00 P0 GPU start ========
loading Qwen2-VL-7B-Instruct 4-bit setting=native...
cuda free=31.22GB; 4-bit LLM + fp16 visual on GPU
`Qwen2VLRotaryEmbedding` can now be fully parameterized by passing the model config through the `config` argument. All other arguments will be removed in v4.46
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.98s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.95s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.86s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.83s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.34s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.58s/it]
visual=cuda:0 llm=cuda:0 cpu_llm=False map={'': 0}
{'id': 'h49:c07:e16:r0', 'progress': '1/192', 'batch': '1/192', 'mode': 'REFUSE', 's_mode': -76.23992919921875, 'L_content': None}
{'id': 'h80:c07:e16:r6', 'progress': '167/192', 'batch': '167/192', 'mode': 'REFUSE', 's_mode': -18.121017456054688, 'L_content': None}
{'id': 'h80:c07:e16:r7', 'progress': '168/192', 'batch': '168/192', 'mode': 'REFUSE', 's_mode': -6.345049858093262, 'L_content': None}
{'id': 'h80:c08:e16:r0', 'progress': '169/192', 'batch': '169/192', 'mode': 'ANSWER', 's_mode': 19.4528865814209, 'L_content': 1.6610368490219116}
{'id': 'h80:c08:e16:r1', 'progress': '170/192', 'batch': '170/192', 'mode': 'REFUSE', 's_mode': -63.55750274658203, 'L_content': None}
{'id': 'h80:c08:e16:r2', 'progress': '171/192', 'batch': '171/192', 'mode': 'ANSWER', 's_mode': 25.110919952392578, 'L_content': 1.7516223192214966}
{'id': 'h80:c08:e16:r3', 'progress': '172/192', 'batch': '172/192', 'mode': 'ANSWER', 's_mode': 18.330835342407227, 'L_content': 1.5700383186340332}
{'id': 'h80:c08:e16:r4', 'progress': '173/192', 'batch': '173/192', 'mode': 'ANSWER', 's_mode': 19.318557739257812, 'L_content': 1.732162594795227}
{'id': 'h80:c08:e16:r5', 'progress': '174/192', 'batch': '174/192', 'mode': 'ANSWER', 's_mode': 25.07846450805664, 'L_content': 1.6813793182373047}
{'id': 'h80:c08:e16:r6', 'progress': '175/192', 'batch': '175/192', 'mode': 'ANSWER', 's_mode': 5.263233661651611, 'L_content': 1.5135554075241089}
{'id': 'h80:c08:e16:r7', 'progress': '176/192', 'batch': '176/192', 'mode': 'ANSWER', 's_mode': 22.20102882385254, 'L_content': 1.7853367328643799}
{'id': 'h81:c07:e16:r0', 'progress': '177/192', 'batch': '177/192', 'mode': 'DENY', 's_mode': -16.812274932861328, 'L_content': None}
{'id': 'h81:c07:e16:r1', 'progress': '178/192', 'batch': '178/192', 'mode': 'REFUSE', 's_mode': -44.533084869384766, 'L_content': None}
{'id': 'h81:c07:e16:r2', 'progress': '179/192', 'batch': '179/192', 'mode': 'REFUSE', 's_mode': -97.81393432617188, 'L_content': None}
{'id': 'h81:c07:e16:r3', 'progress': '180/192', 'batch': '180/192', 'mode': 'DENY', 's_mode': -20.14537811279297, 'L_content': None}
{'id': 'h81:c07:e16:r4', 'progress': '181/192', 'batch': '181/192', 'mode': 'DENY', 's_mode': -8.345990180969238, 'L_content': None}
{'id': 'h81:c07:e16:r5', 'progress': '182/192', 'batch': '182/192', 'mode': 'REFUSE', 's_mode': -17.76650619506836, 'L_content': None}
{'id': 'h81:c07:e16:r6', 'progress': '183/192', 'batch': '183/192', 'mode': 'REFUSE', 's_mode': -35.792030334472656, 'L_content': None}
{'id': 'h81:c07:e16:r7', 'progress': '184/192', 'batch': '184/192', 'mode': 'REFUSE', 's_mode': -40.46205139160156, 'L_content': None}
{'id': 'h81:c08:e16:r0', 'progress': '185/192', 'batch': '185/192', 'mode': 'REFUSE', 's_mode': -24.746234893798828, 'L_content': None}
{'id': 'h81:c08:e16:r1', 'progress': '186/192', 'batch': '186/192', 'mode': 'REFUSE', 's_mode': -95.08489990234375, 'L_content': None}
{'id': 'h81:c08:e16:r2', 'progress': '187/192', 'batch': '187/192', 'mode': 'REFUSE', 's_mode': -12.0454740524292, 'L_content': None}
{'id': 'h81:c08:e16:r3', 'progress': '188/192', 'batch': '188/192', 'mode': 'REFUSE', 's_mode': -88.78086853027344, 'L_content': None}
{'id': 'h81:c08:e16:r4', 'progress': '189/192', 'batch': '189/192', 'mode': 'REFUSE', 's_mode': -48.80000305175781, 'L_content': None}
{'id': 'h81:c08:e16:r5', 'progress': '190/192', 'batch': '190/192', 'mode': 'REFUSE', 's_mode': -51.29365539550781, 'L_content': None}
{'id': 'h81:c08:e16:r6', 'progress': '191/192', 'batch': '191/192', 'mode': 'REFUSE', 's_mode': -98.47565460205078, 'L_content': None}
{'id': 'h81:c08:e16:r7', 'progress': '192/192', 'batch': '192/192', 'mode': 'ANSWER', 's_mode': -20.123668670654297, 'L_content': 4.540510177612305}
{'go_p1': False, 'reasons': ['content_auc=0.41273584905660377 spearman=-0.1416324575772893 need AUC≥0.70 or ρ≥0.30']}
======== 2026-09-14T13:24:07+08:00 P0 GPU exit=0 ========
======== 2026-09-14T13:27:54+08:00 P0-B2 start ========
loading Qwen2-VL-7B-Instruct 4-bit setting=native...
cuda free=31.22GB; 4-bit LLM + fp16 visual on GPU
`Qwen2VLRotaryEmbedding` can now be fully parameterized by passing the model config through the `config` argument. All other arguments will be removed in v4.46
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:05,  1.31s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:02<00:04,  1.35s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:04<00:02,  1.35s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:05<00:01,  1.33s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:05<00:00,  1.01it/s]Loading checkpoint shards: 100%|██████████| 5/5 [00:05<00:00,  1.15s/it]
visual=cuda:0 llm=cuda:0 cpu_llm=False map={'': 0}
{'id': 'h49:c07:e16:r4', 'progress': '1/85', 'L_write': 0.23820245265960693}
{'id': 'h49:c07:e16:r6', 'progress': '2/85', 'L_write': 0.42704230546951294}
{'id': 'h49:c07:e16:r7', 'progress': '3/85', 'L_write': 0.8357783555984497}
{'id': 'h49:c08:e16:r1', 'progress': '4/85', 'L_write': 0.7070140242576599}
{'id': 'h49:c08:e16:r2', 'progress': '5/85', 'L_write': 0.85260009765625}
{'id': 'h49:c08:e16:r4', 'progress': '6/85', 'L_write': 0.6147122383117676}
{'id': 'h53:c08:e16:r0', 'progress': '7/85', 'L_write': 0.49479150772094727}
{'id': 'h53:c08:e16:r4', 'progress': '8/85', 'L_write': 0.730946958065033}
{'id': 'h53:c08:e16:r6', 'progress': '9/85', 'L_write': 0.5126996040344238}
{'id': 'h56:c07:e16:r0', 'progress': '10/85', 'L_write': 0.8483152985572815}
{'id': 'h56:c07:e16:r1', 'progress': '11/85', 'L_write': 0.8618590831756592}
{'id': 'h56:c07:e16:r2', 'progress': '12/85', 'L_write': 0.9553772211074829}
{'id': 'h56:c07:e16:r3', 'progress': '13/85', 'L_write': 1.1659561395645142}
{'id': 'h56:c07:e16:r4', 'progress': '14/85', 'L_write': 0.6348238587379456}
{'id': 'h56:c07:e16:r5', 'progress': '15/85', 'L_write': 0.870489239692688}
{'id': 'h56:c07:e16:r6', 'progress': '16/85', 'L_write': 1.0084055662155151}
{'id': 'h56:c07:e16:r7', 'progress': '17/85', 'L_write': 1.11545729637146}
{'id': 'h56:c08:e16:r0', 'progress': '18/85', 'L_write': 1.034043788909912}
{'id': 'h56:c08:e16:r1', 'progress': '19/85', 'L_write': 0.8983073234558105}
{'id': 'h56:c08:e16:r3', 'progress': '20/85', 'L_write': 0.931678295135498}
{'id': 'h56:c08:e16:r4', 'progress': '21/85', 'L_write': 0.8354406952857971}
{'id': 'h56:c08:e16:r5', 'progress': '22/85', 'L_write': 0.870337724685669}
{'id': 'h56:c08:e16:r6', 'progress': '23/85', 'L_write': 0.8965288400650024}
{'id': 'h56:c08:e16:r7', 'progress': '24/85', 'L_write': 0.7081757187843323}
{'id': 'h61:c07:e16:r6', 'progress': '25/85', 'L_write': 0.5748424530029297}
{'id': 'h64:c07:e16:r0', 'progress': '26/85', 'L_write': 1.013790488243103}
{'id': 'h64:c07:e16:r1', 'progress': '27/85', 'L_write': 0.9899201393127441}
{'id': 'h64:c07:e16:r2', 'progress': '28/85', 'L_write': 1.0920486450195312}
{'id': 'h64:c07:e16:r3', 'progress': '29/85', 'L_write': 0.8809871673583984}
{'id': 'h64:c07:e16:r4', 'progress': '30/85', 'L_write': 0.9599732160568237}
{'id': 'h64:c07:e16:r5', 'progress': '31/85', 'L_write': 1.0615527629852295}
{'id': 'h64:c07:e16:r6', 'progress': '32/85', 'L_write': 1.0112751722335815}
{'id': 'h64:c07:e16:r7', 'progress': '33/85', 'L_write': 1.0660078525543213}
{'id': 'h64:c08:e16:r3', 'progress': '34/85', 'L_write': 0.9073899984359741}
{'id': 'h64:c08:e16:r5', 'progress': '35/85', 'L_write': 0.8485435247421265}
{'id': 'h64:c08:e16:r6', 'progress': '36/85', 'L_write': 0.9138421416282654}
{'id': 'h64:c08:e16:r7', 'progress': '37/85', 'L_write': 0.7520275115966797}
{'id': 'h66:c07:e16:r0', 'progress': '38/85', 'L_write': 1.0203828811645508}
{'id': 'h66:c07:e16:r2', 'progress': '39/85', 'L_write': 1.0345553159713745}
{'id': 'h66:c07:e16:r3', 'progress': '40/85', 'L_write': 1.3544468879699707}
{'id': 'h66:c07:e16:r4', 'progress': '41/85', 'L_write': 0.9988999962806702}
{'id': 'h66:c07:e16:r5', 'progress': '42/85', 'L_write': 0.9977307915687561}
{'id': 'h66:c07:e16:r7', 'progress': '43/85', 'L_write': 1.0009419918060303}
{'id': 'h66:c08:e16:r1', 'progress': '44/85', 'L_write': 1.0409774780273438}
{'id': 'h66:c08:e16:r2', 'progress': '45/85', 'L_write': 1.0955344438552856}
{'id': 'h66:c08:e16:r3', 'progress': '46/85', 'L_write': 1.0738884210586548}
{'id': 'h66:c08:e16:r4', 'progress': '47/85', 'L_write': 1.1019936800003052}
{'id': 'h66:c08:e16:r5', 'progress': '48/85', 'L_write': 1.0790073871612549}
{'id': 'h66:c08:e16:r6', 'progress': '49/85', 'L_write': 1.0707733631134033}
{'id': 'h66:c08:e16:r7', 'progress': '50/85', 'L_write': 1.2142798900604248}
{'id': 'h68:c07:e16:r2', 'progress': '51/85', 'L_write': 1.1530660390853882}
{'id': 'h68:c07:e16:r5', 'progress': '52/85', 'L_write': 1.0164459943771362}
{'id': 'h68:c08:e16:r0', 'progress': '53/85', 'L_write': 0.8487333059310913}
{'id': 'h68:c08:e16:r1', 'progress': '54/85', 'L_write': 1.0683207511901855}
{'id': 'h68:c08:e16:r2', 'progress': '55/85', 'L_write': 1.2611364126205444}
{'id': 'h68:c08:e16:r3', 'progress': '56/85', 'L_write': 0.9069896936416626}
{'id': 'h68:c08:e16:r6', 'progress': '57/85', 'L_write': 0.9227825403213501}
{'id': 'h68:c08:e16:r7', 'progress': '58/85', 'L_write': 0.878657341003418}
{'id': 'h72:c07:e16:r0', 'progress': '59/85', 'L_write': 0.8752504587173462}
{'id': 'h72:c07:e16:r2', 'progress': '60/85', 'L_write': 1.00347900390625}
{'id': 'h72:c07:e16:r3', 'progress': '61/85', 'L_write': 1.0941294431686401}
{'id': 'h72:c07:e16:r4', 'progress': '62/85', 'L_write': 1.1284571886062622}
{'id': 'h72:c07:e16:r5', 'progress': '63/85', 'L_write': 0.9425158500671387}
{'id': 'h72:c07:e16:r7', 'progress': '64/85', 'L_write': 1.0663608312606812}
{'id': 'h72:c08:e16:r0', 'progress': '65/85', 'L_write': 1.0092551708221436}
{'id': 'h72:c08:e16:r1', 'progress': '66/85', 'L_write': 1.0901920795440674}
{'id': 'h72:c08:e16:r2', 'progress': '67/85', 'L_write': 0.9426723718643188}
{'id': 'h72:c08:e16:r3', 'progress': '68/85', 'L_write': 0.9158582091331482}
{'id': 'h72:c08:e16:r4', 'progress': '69/85', 'L_write': 1.0134069919586182}
{'id': 'h72:c08:e16:r6', 'progress': '70/85', 'L_write': 0.8966600298881531}
{'id': 'h74:c07:e16:r0', 'progress': '71/85', 'L_write': 1.0836102962493896}
{'id': 'h74:c07:e16:r4', 'progress': '72/85', 'L_write': 0.9362629055976868}
{'id': 'h74:c08:e16:r0', 'progress': '73/85', 'L_write': 1.3092875480651855}
{'id': 'h74:c08:e16:r3', 'progress': '74/85', 'L_write': 1.1630008220672607}
{'id': 'h74:c08:e16:r7', 'progress': '75/85', 'L_write': 1.1404590606689453}
{'id': 'h80:c07:e16:r0', 'progress': '76/85', 'L_write': 0.45476752519607544}
{'id': 'h80:c07:e16:r4', 'progress': '77/85', 'L_write': 0.5832712650299072}
{'id': 'h80:c08:e16:r0', 'progress': '78/85', 'L_write': 0.4640030264854431}
{'id': 'h80:c08:e16:r2', 'progress': '79/85', 'L_write': 0.445766806602478}
{'id': 'h80:c08:e16:r3', 'progress': '80/85', 'L_write': 0.5279367566108704}
{'id': 'h80:c08:e16:r4', 'progress': '81/85', 'L_write': 0.6529152393341064}
{'id': 'h80:c08:e16:r5', 'progress': '82/85', 'L_write': 0.6621835231781006}
{'id': 'h80:c08:e16:r6', 'progress': '83/85', 'L_write': 0.4917667508125305}
{'id': 'h80:c08:e16:r7', 'progress': '84/85', 'L_write': 0.6121261119842529}
{'id': 'h81:c08:e16:r7', 'progress': '85/85', 'L_write': 1.2290292978286743}
{'go_p1': False, 'reasons': ['content_auc=0.41273584905660377 within_q=0.5265578403078404 write_auc=0.5601415094339622 spearman=-0.1416324575772893 need AUC≥0.70 or ρ≥0.30 or within-query/write contrastive ≥0.70']}
======== 2026-09-14T13:29:25+08:00 P0-B2 exit=0 ========
